YEAR,STATE_CODE,race,MEM_,OSS_,pct_
1976,HI,AS,124470,1675,1
1976,HI,BL,2100,0,
1976,HI,HI,10930,590,5
1976,HI,HP,0,0,
1976,HI,MR,0,0,
1976,HI,WH,35560,1040,3
1976,HI,total,173690,3310,2
1976,IA,AI,1890,70,4
1976,IA,AS,2505,10,0
1976,IA,BL,11015,1240,11
1976,IA,HI,3715,80,2
1976,IA,HP,0,0,
1976,IA,MR,0,0,
1976,IA,WH,579985,7605,1
1976,IA,total,599120,9010,2
1976,ID,AI,3090,35,1
1976,ID,AS,1265,5,0
1976,ID,BL,490,10,2
1976,ID,HI,6485,90,1
1976,ID,HP,0,0,
1976,ID,MR,0,0,
1976,ID,WH,186440,1705,1
1976,ID,total,197770,1845,1
